array_SR_values, mean_mem_cap, desviaciones_mem_cap
1.000000000000000056e-01 5.379999999999999893e+00 4.853864439804638220e-01
1.947368421052631526e-01 7.059999999999999609e+00 4.199999999999999845e-01
2.894736842105263275e-01 8.679999999999999716e+00 5.810335618533580826e-01
3.842105263157894468e-01 9.960000000000000853e+00 7.199999999999998623e-01
4.789473684210525661e-01 1.125999999999999979e+01 8.674099376880576306e-01
5.736842105263156855e-01 1.233999999999999986e+01 8.392854103342914929e-01
6.684210526315789158e-01 1.327999999999999936e+01 1.077775486824598561e+00
7.631578947368420351e-01 1.409999999999999964e+01 1.187434208703791683e+00
8.578947368421051545e-01 1.466000000000000014e+01 1.335814358359723508e+00
9.526315789473682738e-01 1.490000000000000036e+01 1.552417469626002466e+00
1.047368421052631504e+00 1.369999999999999929e+01 1.539480431834065355e+00
1.142105263157894735e+00 1.246000000000000085e+01 2.146718425877041092e+00
1.236842105263157965e+00 1.158000000000000007e+01 2.050268275128891649e+00
1.331578947368420973e+00 1.090000000000000036e+01 2.291287847477919914e+00
1.426315789473684204e+00 1.009999999999999964e+01 2.051828452868319275e+00
1.521052631578947212e+00 9.080000000000000071e+00 2.287706274852608690e+00
1.615789473684210442e+00 8.339999999999999858e+00 2.320430994449091511e+00
1.710526315789473673e+00 7.639999999999999680e+00 2.287006777427648796e+00
1.805263157894736681e+00 6.620000000000000107e+00 2.652470546490573344e+00
1.899999999999999911e+00 5.660000000000000142e+00 2.881735588148225613e+00
