array_SR_values, mean_lyap, desviaciones_lyap
1.000000000000000056e-01 -6.276276861423124576e-01 3.153302003064299003e-02
1.947368421052631526e-01 -5.317471385973991937e-01 3.585204548022554588e-02
2.894736842105263275e-01 -4.424141756765128108e-01 4.211876616473383267e-02
3.842105263157894468e-01 -3.582101557195413455e-01 4.818642849909936243e-02
4.789473684210525661e-01 -2.781752684310515034e-01 5.336638798562105129e-02
5.736842105263156855e-01 -2.019350136316512834e-01 5.759223406991471200e-02
6.684210526315789158e-01 -1.287653312144326767e-01 6.097346189385915993e-02
7.631578947368420351e-01 -5.836949885325145443e-02 6.300267239777566919e-02
8.578947368421051545e-01 9.611898705412369806e-03 6.375414886509915557e-02
9.526315789473682738e-01 7.433223984865650058e-02 6.080939593455687159e-02
1.047368421052631504e+00 9.719584272876162501e-02 5.975168465300758486e-02
1.142105263157894735e+00 9.290800978008345590e-02 6.072209812046824862e-02
1.236842105263157965e+00 8.945339854024297876e-02 6.164023234864259015e-02
1.331578947368420973e+00 9.600689812145242474e-02 6.903223456927948254e-02
1.426315789473684204e+00 9.338380701621540325e-02 5.863917741718956828e-02
1.521052631578947212e+00 9.516008081524264528e-02 6.372804043118397710e-02
1.615789473684210442e+00 8.862177464470782917e-02 6.061226940194682639e-02
1.710526315789473673e+00 8.886625751501057990e-02 6.128763746430840320e-02
1.805263157894736681e+00 9.622232116927191548e-02 9.047618382116513758e-02
1.899999999999999911e+00 8.701356809534041559e-02 7.225031510350726771e-02
