error_mean error_std
3.587086872841869778e-01 2.906754618956044339e-02
3.530676363469442136e-01 2.823700085465872048e-02
3.521540857160803673e-01 2.638396686286014620e-02
3.569318678583925930e-01 2.721775624273694780e-02
3.483560503873677217e-01 2.167434865864853108e-02
3.507231189475334965e-01 2.330454698761176210e-02
3.572130499634784129e-01 2.389028644333310650e-02
3.552046961331887798e-01 1.852570639703624011e-02
3.544568306727773344e-01 1.898016913458293667e-02
3.583352891705154364e-01 2.730371814951846124e-02
3.449072032948392597e-01 2.699635927932426613e-02
3.571626710477137645e-01 2.972589543878797341e-02
3.557308418686491724e-01 2.203465304333253674e-02
3.513566007311692552e-01 2.326789878031871456e-02
3.554357425399213843e-01 2.611160528118011345e-02
3.582559466354096056e-01 2.782416449212288950e-02
3.572647995919706609e-01 4.435556232226088580e-02
3.652858143165556570e-01 2.664199362876656235e-02
3.589238704135768177e-01 4.280858596000657740e-02
3.573062813337067323e-01 1.955683394183820381e-02
3.472632678928141425e-01 3.175695733587596825e-02
3.626319378963562268e-01 2.085439257930184892e-02
3.444652141391739697e-01 2.032355807268347581e-02
3.615186074052126330e-01 2.292940116202439593e-02
3.621767694929360348e-01 2.823574059547850207e-02
3.615851633374085328e-01 2.865167068183174445e-02
3.547311005861262800e-01 3.584089007332785792e-02
3.548142958839537453e-01 2.286995297271214242e-02
3.585893790577279749e-01 2.877464639166566265e-02
3.474115202120676704e-01 1.715048618989434975e-02
3.580550648926726365e-01 3.170683902017252392e-02
3.576524752292499221e-01 2.471736949864834776e-02
3.516160718960344989e-01 2.576109359796998829e-02
3.463296763838425996e-01 2.001652856894421337e-02
3.622053382140136280e-01 2.176606547504386646e-02
3.580497055868464562e-01 3.006296335757220259e-02
3.609308492281246838e-01 1.729136347785525593e-02
3.542028067072884312e-01 1.885850928251168665e-02
3.507652792984352619e-01 2.889136832831498691e-02
3.576770239546458452e-01 1.944054058603518140e-02
3.588122429589700735e-01 3.732800456033994602e-02
3.469339973764086205e-01 2.249777389118529786e-02
3.521594709395934886e-01 1.918282241030831725e-02
3.645501577597565768e-01 3.312431653019538152e-02
3.604494423282613713e-01 4.245585608268014066e-02
3.575138124770997350e-01 3.326439823644827820e-02
3.483680086395720132e-01 2.164852427637602161e-02
3.563244462475310126e-01 3.475510373600645270e-02
3.658525649384309908e-01 4.149953283360334477e-02
3.731346580841695681e-01 2.554973282979435684e-02
3.697541236991945257e-01 2.286377603623446914e-02
3.554403534704987933e-01 1.990072464260434978e-02
3.650361230978504956e-01 3.278478259330906697e-02
3.651973963971071324e-01 3.588640210459852903e-02
3.540866559933709690e-01 2.727629360993510596e-02
3.590477242368252386e-01 2.602948861599317654e-02
3.620612004704847897e-01 2.416720901379185507e-02
3.573443502138837213e-01 2.001717406735253196e-02
3.556207233569485537e-01 1.810255470240790254e-02
3.588661910785373443e-01 2.989901698043699596e-02
3.578985692386089101e-01 1.568812552434218494e-02
3.583606564546915618e-01 1.825954360157730494e-02
3.507525145091611174e-01 1.938535415708620910e-02
3.616690684217951923e-01 3.010635408829401283e-02
3.694376111471983637e-01 4.127009592394401821e-02
3.555734201323298427e-01 1.952768477881090120e-02
3.651071901871968950e-01 2.392458990545981087e-02
3.552791843706081809e-01 2.882708118434013783e-02
3.601330300904079240e-01 3.011155448020188738e-02
3.562455728795028143e-01 2.341287918554846303e-02
3.552305968025782912e-01 1.723787987441482636e-02
3.575818373724329313e-01 2.835095784607332553e-02
3.530652114708488498e-01 2.788646791954096232e-02
3.615913918315971087e-01 4.832394251638413157e-02
3.613883970041218974e-01 2.394565904105493484e-02
3.673987080600639166e-01 3.935148371547856488e-02
3.473441361761759882e-01 2.361821644629573391e-02
3.543407960817286373e-01 1.992812256042349878e-02
3.689227442749083430e-01 4.778976630629406391e-02
3.536044409974401503e-01 2.216555543993109154e-02
3.534487140702395891e-01 2.224464028978198615e-02
3.603534808242671028e-01 2.885221677310240498e-02
3.590492745003933672e-01 3.193890617597976850e-02
3.508259301618967818e-01 2.304497562385741591e-02
3.613143013226467470e-01 2.578334948865960291e-02
3.536166912562184184e-01 2.221766761837327270e-02
3.505575599236212536e-01 2.571822766501652771e-02
3.523377090922668042e-01 2.163674246430611139e-02
3.437811558914836696e-01 2.461297188366876401e-02
3.764312398885658051e-01 3.360003575220147504e-02
3.636487361621105197e-01 2.928242926623020673e-02
3.663541014709272292e-01 3.291334710925866713e-02
3.510080581118921184e-01 2.797675651992602777e-02
3.582035444905644073e-01 2.226680678185099030e-02
3.483238628707475693e-01 1.951608232266527007e-02
3.587800617314239604e-01 2.045230151387444906e-02
3.701836680410279801e-01 5.440086838808571440e-02
3.551483863977056843e-01 3.080031586537525928e-02
3.584651673259640625e-01 2.593301015302644855e-02
3.605859626637957227e-01 2.759845229052045046e-02
3.548750143187029971e-01 2.650432925576293175e-02
3.622233780958190597e-01 2.443050088219531069e-02
3.512397345950039051e-01 2.967050902325830963e-02
3.533808900226815819e-01 1.981665179389429168e-02
3.455952554595034254e-01 2.477987656056542670e-02
3.564371769004391344e-01 2.018221877442966106e-02
3.624222827540241609e-01 2.680369200661335966e-02
3.565402160817687793e-01 2.178769214346664568e-02
3.548601525819261027e-01 2.794064997322768737e-02
3.487255153724380663e-01 2.032328452861572460e-02
3.518019158833096127e-01 2.345965286496584645e-02
3.579814049172319601e-01 2.908987866702146541e-02
3.646853393154180778e-01 2.687366553639508257e-02
3.712345421856435568e-01 5.381434663357160392e-02
3.577719155653293348e-01 3.453515105491725828e-02
3.517436170666716211e-01 4.426286624454381369e-02
3.625512641198763153e-01 3.702099816155650369e-02
3.716731856111756271e-01 3.687170116270360731e-02
3.502781600055406841e-01 2.952781067770740564e-02
3.687138933973638788e-01 2.254009336641320596e-02
3.496063212620749150e-01 3.193531383582622757e-02
3.571699419350498617e-01 2.599368806298876788e-02
3.513096620024779293e-01 2.645932935522744833e-02
3.533257821032831369e-01 2.189277913598939099e-02
3.598263635023380425e-01 2.468003126518773793e-02
3.517856608328429613e-01 2.646016857199220626e-02
