error_mean error_std nr_incoherent_ffl nr_neg_feed
1.488000000000000078e+01 1.351147660324363065e+00 1.470000000000000000e+02 8.900000000000000000e+01
1.498000000000000043e+01 1.476346842716846242e+00 1.430000000000000000e+02 8.300000000000000000e+01
1.511999999999999922e+01 1.305986217385160630e+00 1.420000000000000000e+02 8.900000000000000000e+01
1.522000000000000064e+01 1.188107739222331594e+00 1.460000000000000000e+02 8.800000000000000000e+01
1.496000000000000085e+01 1.295530779256131693e+00 1.430000000000000000e+02 8.900000000000000000e+01
1.483999999999999986e+01 1.137717012266231453e+00 1.430000000000000000e+02 8.300000000000000000e+01
1.458000000000000007e+01 1.040961094373848317e+00 1.380000000000000000e+02 7.900000000000000000e+01
1.498000000000000043e+01 1.334016491652183278e+00 1.470000000000000000e+02 8.600000000000000000e+01
1.490000000000000036e+01 1.526433752247374764e+00 1.470000000000000000e+02 8.800000000000000000e+01
1.488000000000000078e+01 1.193984924527943914e+00 1.460000000000000000e+02 8.500000000000000000e+01
1.485999999999999943e+01 1.131547612785250845e+00 1.450000000000000000e+02 8.700000000000000000e+01
1.440000000000000036e+01 1.216552506059643823e+00 1.400000000000000000e+02 6.700000000000000000e+01
1.483999999999999986e+01 1.332066064427737118e+00 1.290000000000000000e+02 8.100000000000000000e+01
1.488000000000000078e+01 1.336263447079205191e+00 1.170000000000000000e+02 7.800000000000000000e+01
1.496000000000000085e+01 1.295530779256131693e+00 1.420000000000000000e+02 8.800000000000000000e+01
1.496000000000000085e+01 1.165504182746677220e+00 1.470000000000000000e+02 8.700000000000000000e+01
1.485999999999999943e+01 1.183384975398961370e+00 1.440000000000000000e+02 8.700000000000000000e+01
1.527999999999999936e+01 1.386217876093076562e+00 1.360000000000000000e+02 8.600000000000000000e+01
1.490000000000000036e+01 1.486606874731850603e+00 1.410000000000000000e+02 8.900000000000000000e+01
1.508000000000000007e+01 1.368795090581493845e+00 1.420000000000000000e+02 8.800000000000000000e+01
1.474000000000000021e+01 1.091970695577495709e+00 1.460000000000000000e+02 8.500000000000000000e+01
1.485999999999999943e+01 1.216716893940410493e+00 1.310000000000000000e+02 7.900000000000000000e+01
1.516000000000000014e+01 1.447204201210043450e+00 1.410000000000000000e+02 7.900000000000000000e+01
1.503999999999999915e+01 1.341044369139216652e+00 1.460000000000000000e+02 8.800000000000000000e+01
1.466000000000000014e+01 1.193482299826855275e+00 1.450000000000000000e+02 8.400000000000000000e+01
1.448000000000000043e+01 1.024499877989255792e+00 1.460000000000000000e+02 8.600000000000000000e+01
1.490000000000000036e+01 1.360147050873544261e+00 1.350000000000000000e+02 7.700000000000000000e+01
1.509999999999999964e+01 1.330413469565006945e+00 1.440000000000000000e+02 8.400000000000000000e+01
1.491999999999999993e+01 1.213919272439481389e+00 1.370000000000000000e+02 7.500000000000000000e+01
1.485999999999999943e+01 1.216716893940410493e+00 1.360000000000000000e+02 8.400000000000000000e+01
1.482000000000000028e+01 1.351887569289695001e+00 1.330000000000000000e+02 8.600000000000000000e+01
1.453999999999999915e+01 1.458903697986950743e+00 1.270000000000000000e+02 8.100000000000000000e+01
1.517999999999999972e+01 1.479053751558745633e+00 1.470000000000000000e+02 8.900000000000000000e+01
1.409999999999999964e+01 1.268857754044952157e+00 1.420000000000000000e+02 8.700000000000000000e+01
1.490000000000000036e+01 1.431782106327635251e+00 1.300000000000000000e+02 6.600000000000000000e+01
1.443999999999999950e+01 1.185917366429887432e+00 1.380000000000000000e+02 6.600000000000000000e+01
1.440000000000000036e+01 1.095445115010332149e+00 1.430000000000000000e+02 8.900000000000000000e+01
1.482000000000000028e+01 1.291355876588634155e+00 1.160000000000000000e+02 7.700000000000000000e+01
1.433999999999999986e+01 1.305526713629407087e+00 1.270000000000000000e+02 7.800000000000000000e+01
1.514000000000000057e+01 1.311640194565567574e+00 1.410000000000000000e+02 8.200000000000000000e+01
1.503999999999999915e+01 1.232233744059948899e+00 1.390000000000000000e+02 8.800000000000000000e+01
1.453999999999999915e+01 1.135077089893016922e+00 1.440000000000000000e+02 8.700000000000000000e+01
1.483999999999999986e+01 1.254750971308649765e+00 1.260000000000000000e+02 8.400000000000000000e+01
